Ref ID,Genus,Species,Sex,Sex Confidence ,Age (years),Age Confidence ,Social with other parrots? ,Social with conspecifics?,"""mimicry"" sounds count","""phrase"" count","""word"" count",Improvisation/ word reorganization,Contextual use of mimicry,,,,,,,,,,,,,,,,,,,,
111,Cacatua,alba,Female,High,30,Medium,No,,0,10,12,Never,Sometimes,,,,,,,,,,,,,,,,,,,,
833,Cacatua,alba,Male,Low,20,Medium,No,,4,13,16,Sometimes,Frequently,,,,,,,,,,,,,,,,,,,,
621,Cacatua,alba,Female,High,21,Medium,Yes,Yes,1,1,2,Never,Never,,,,,,,,,,,,,,,,,,,,
620,Cacatua,alba,Female,Low,,,Yes,Yes,4,1,4,Never,Sometimes,,,,,,,,,,,,,,,,,,,,
33,Cacatua,galerita,Male,High,13,,Yes,No,6,100,50,Frequently,Frequently,,,,,,,,,,,,,,,,,,,,
229,Cacatua,galerita,Male,Low,7,Low,Yes,No,5,15,40,Frequently,Frequently,,,,,,,,,,,,,,,,,,,,
546,Cacatua,galerita,Male,Low,19,High,No,No,10,17,30,Frequently,Frequently,,,,,,,,,,,,,,,,,,,,
658,Cacatua,galerita,Male,High,12,Medium,No,,5,12,20,Frequently,Frequently,,,,,,,,,,,,,,,,,,,,
655,Cacatua,galerita,Female,High,1,High,No,,1,4,8,Never,Never,,,,,,,,,,,,,,,,,,,,
446,Cacatua,galerita,Unknown,,23,Medium,Yes,No,5,9,16,Sometimes,Sometimes,,,,,,,,,,,,,,,,,,,,
9,Cacatua,galerita,Male,High,20,Medium,,,2,4,7,Sometimes,,,,,,,,,,,,,,,,,,,,,
12,Cacatua,galerita,Male,Low,20,Medium,,,7,12,26,Frequently,,,,,,,,,,,,,,,,,,,,,
46,Cacatua,galerita,Male,High,29,,No,,1,8,50,Sometimes,Frequently,,,,,,,,,,,,,,,,,,,,
693,Cacatua,galerita,Male,High,20,Medium,Yes,Yes,1,5,7,Sometimes,Frequently,,,,,,,,,,,,,,,,,,,,
247,Cacatua,goffiniana,Male,Low,5,Medium,No,,3,10,30,Sometimes,Frequently,,,,,,,,,,,,,,,,,,,,
553,Cacatua,goffiniana,Female,High,28,High,Yes,No,3,7,16,Sometimes,Frequently,,,,,,,,,,,,,,,,,,,,
891,Cacatua,goffiniana,Female,High,21,High,Yes,Yes,1,5,6,Sometimes,Never,,,,,,,,,,,,,,,,,,,,
155,Cacatua,goffiniana,Male,Low,34,,Yes,No,1,1,2,Never,Never,,,,,,,,,,,,,,,,,,,,
180,Cacatua,goffiniana,Unknown,,14.5,High,No,,0,1,2,Never,Never,,,,,,,,,,,,,,,,,,,,
192,Cacatua,goffiniana,Female,High,18,High,Yes,No,0,2,2,Frequently,Sometimes,,,,,,,,,,,,,,,,,,,,
811,Cacatua,goffiniana,Male,High,26,Medium,No,No,0,1,1,Never,Sometimes,,,,,,,,,,,,,,,,,,,,
892,Cacatua,goffiniana,Female,High,10,High,Yes,Yes,3,1,3,Never,Sometimes,,,,,,,,,,,,,,,,,,,,
893,Cacatua,goffiniana,Female,High,1,High,Yes,Yes,2,1,3,Never,Sometimes,,,,,,,,,,,,,,,,,,,,
94,Cacatua,moluccensis,Male,High,34,High,Yes,Yes,1,8,18,Sometimes,Frequently,,,,,,,,,,,,,,,,,,,,
234,Cacatua,moluccensis,Male,Low,25,Low,No,,3,1,2,Sometimes,Frequently,,,,,,,,,,,,,,,,,,,,
428,Cacatua,moluccensis,Male,Medium,,,No,,1,15,22,Sometimes,Frequently,,,,,,,,,,,,,,,,,,,,
724,Cacatua,moluccensis,Male,High,1.5,High,No,,7,8,5,Sometimes,Frequently,,,,,,,,,,,,,,,,,,,,
741,Cacatua,moluccensis,Male,High,19,High,No,No,6,6,16,Sometimes,Frequently,,,,,,,,,,,,,,,,,,,,
77,Cacatua,moluccensis,Female,High,22,Low,Yes,No,5,10,12,Frequently,Frequently,,,,,,,,,,,,,,,,,,,,
505,Cacatua,moluccensis,Male,Low,22,Medium,Yes,No,5,5,10,Never,Frequently,,,,,,,,,,,,,,,,,,,,
349,Cacatua,moluccensis,Male,Low,27,High,Yes,No,2,3,8,Frequently,Never,,,,,,,,,,,,,,,,,,,,
889,Cacatua,moluccensis,Male,High,17,High,Yes,No,8,2,2,Sometimes,Sometimes,,,,,,,,,,,,,,,,,,,,
130,Cacatua,sanguinea,Female,High,21,High,Yes,No,0,5,28,Frequently,Frequently,,,,,,,,,,,,,,,,,,,,
53,Cacatua,sanguinea,Male,High,36,,Yes,Yes,0,12,20,Never,Frequently,,,,,,,,,,,,,,,,,,,,
700,Cacatua,sanguinea,Male,Medium,15,Medium,Yes,Yes,10,6,20,Never,Sometimes,,,,,,,,,,,,,,,,,,,,
680,Cacatua,sulphurea,Male,High,23,Medium,No,,3,6,18,Sometimes,Frequently,,,,,,,,,,,,,,,,,,,,
856,Cacatua,sulphurea,Female,High,20,High,No,,6,28,55,Sometimes,Frequently,,,,,,,,,,,,,,,,,,,,
447,Cacatua,sulphurea,Unknown,,27,High,No,No,4,20,100,Frequently,Frequently,,,,,,,,,,,,,,,,,,,,
678,Cacatua,sulphurea,Female,Medium,30,High,Yes,No,22,24,20,Frequently,Frequently,,,,,,,,,,,,,,,,,,,,
467,Cacatua,sulphurea,Male,Low,26,High,No,No,4,10,16,Never,Frequently,,,,,,,,,,,,,,,,,,,,
703,Cacatua,sulphurea,Male,High,6,High,No,No,3,6,16,Never,Frequently,,,,,,,,,,,,,,,,,,,,
56,Cacatua,sulphurea,Female,High,28,Low,Yes,No,6,10,18,Sometimes,Sometimes,,,,,,,,,,,,,,,,,,,,
270,Cacatua,sulphurea,Female,Low,5,High,Yes,No,5,15,80,Sometimes,Sometimes,,,,,,,,,,,,,,,,,,,,
571,Cacatua,sulphurea,Female,High,,,Yes,No,0,0,0,Sometimes,Sometimes,,,,,,,,,,,,,,,,,,,,
31,Cacatua,sulphurea,Male,Low,5,Low,No,No,1,2,2,Never,Sometimes,,,,,,,,,,,,,,,,,,,,
126,Cacatua,,Male,High,32,High,Yes,No,4,2,10,Frequently,Frequently,,,,,,,,,,,,,,,,,,,,
131,Cyanoliseus,patagonus,Male,High,23,High,Yes,No,5,4,10,Sometimes,Frequently,,,,,,,,,,,,,,,,,,,,
307,Cyanoliseus,patagonus,Female,High,21,High,Yes,No,12,7,20,Sometimes,Frequently,,,,,,,,,,,,,,,,,,,,
264,Cyanoramphus,novaezelandiae,Male,Low,1,High,Yes,Yes,2,6,10,Frequently,Frequently,,,,,,,,,,,,,,,,,,,,
330,Diopsittaca,nobilis,Female,High,,,Yes,No,7,4,4,Sometimes,Frequently,,,,,,,,,,,,,,,,,,,,
441,Diopsittaca,nobilis,Female,High,15,Medium,Yes,No,2,8,22,Sometimes,Frequently,,,,,,,,,,,,,,,,,,,,
202,Diopsittaca,nobilis,Female,Medium,6,Medium,No,,3,10,15,Frequently,Frequently,,,,,,,,,,,,,,,,,,,,
867,Diopsittaca,nobilis,Unknown,,26,High,No,,5,20,5,Frequently,Frequently,,,,,,,,,,,,,,,,,,,,
310,Diopsittaca,nobilis,Unknown,,0.5,High,No,,2,5,11,Never,Sometimes,,,,,,,,,,,,,,,,,,,,
659,Diopsittaca,nobilis,Female,High,20,High,No,,4,0,4,Never,Sometimes,,,,,,,,,,,,,,,,,,,,
876,Diopsittaca,nobilis,Male,High,7,High,Yes,No,2,5,8,Never,Sometimes,,,,,,,,,,,,,,,,,,,,
42,Eclectus,roratus,Male,High,17,,No,No,5,30,45,Sometimes,Frequently,,,,,,,,,,,,,,,,,,,,
397,Eclectus,roratus,Female,High,5,High,Yes,No,3,52,65,Sometimes,Frequently,,,,,,,,,,,,,,,,,,,,
417,Eclectus,roratus,Male,High,1,High,Yes,No,1,9,16,Sometimes,Frequently,,,,,,,,,,,,,,,,,,,,
675,Eclectus,roratus,Male,High,28,Medium,No,No,0,20,30,Sometimes,Frequently,,,,,,,,,,,,,,,,,,,,
736,Eclectus,roratus,Female,High,24,High,No,,1,9,25,Sometimes,Frequently,,,,,,,,,,,,,,,,,,,,
28,Eclectus,roratus,Male,High,6,Low,No,,6,15,24,Frequently,Frequently,,,,,,,,,,,,,,,,,,,,
379,Eclectus,roratus,Male,High,28,Medium,Yes,Yes,5,50,100,Frequently,Frequently,,,,,,,,,,,,,,,,,,,,
396,Eclectus,roratus,Female,High,9,High,No,,1,4,12,Never,Frequently,,,,,,,,,,,,,,,,,,,,
364,Eclectus,roratus,Female,High,4,Medium,Yes,No,7,2,8,Never,Never,,,,,,,,,,,,,,,,,,,,
557,Eclectus,roratus,Female,Low,25,High,Yes,No,0,3,6,Never,Never,,,,,,,,,,,,,,,,,,,,
89,Eclectus,roratus,Female,High,29,High,No,,3,5,15,Sometimes,Sometimes,,,,,,,,,,,,,,,,,,,,
178,Eclectus,roratus,Female,High,1,High,No,,1,2,6,Sometimes,Sometimes,,,,,,,,,,,,,,,,,,,,
689,Eclectus,roratus,Male,High,5,High,No,,1,8,30,Sometimes,Sometimes,,,,,,,,,,,,,,,,,,,,
783,Eclectus,roratus,Male,High,2,Medium,No,,10,15,25,Sometimes,Sometimes,,,,,,,,,,,,,,,,,,,,
645,Eclectus,roratus,Female,High,3,High,Yes,No,2,7,12,Frequently,Sometimes,,,,,,,,,,,,,,,,,,,,
346,Eclectus,roratus,Male,High,,,Yes,No,2,7,13,Never,Sometimes,,,,,,,,,,,,,,,,,,,,
410,Eclectus,roratus,Male,High,1,High,Yes,No,0,1,4,Never,Sometimes,,,,,,,,,,,,,,,,,,,,
437,Eclectus,roratus,Male,High,2,High,Yes,No,8,4,10,Never,Sometimes,,,,,,,,,,,,,,,,,,,,
444,Eclectus,roratus,Male,High,11,High,No,No,6,2,9,Never,Sometimes,,,,,,,,,,,,,,,,,,,,
536,Eclectus,roratus,Male,High,5,Medium,No,No,6,4,25,Never,Sometimes,,,,,,,,,,,,,,,,,,,,
782,Eclectus,roratus,Female,High,,,Yes,No,5,2,9,Never,Sometimes,,,,,,,,,,,,,,,,,,,,
884,Eclectus ,roratus,Female,High,21,Medium,Yes,No,3,15,20,Sometimes,Frequently,,,,,,,,,,,,,,,,,,,,
883,Eclectus ,roratus,Male,High,,Low,Yes,Yes,6,12,20,Never,Frequently,,,,,,,,,,,,,,,,,,,,
881,Eclectus ,roratus,Female,High,3,Medium,No,,6,4,1,Sometimes,Sometimes,,,,,,,,,,,,,,,,,,,,
103,Eolophus,roseicapilla,Male,High,4,High,Yes,No,5,12,12,Sometimes,Frequently,,,,,,,,,,,,,,,,,,,,
292,Eolophus,roseicapilla,Male,High,1,High,No,,2,4,5,Sometimes,Frequently,,,,,,,,,,,,,,,,,,,,
406,Eolophus,roseicapilla,Male,Low,8,Medium,Yes,No,3,7,25,Sometimes,Frequently,,,,,,,,,,,,,,,,,,,,
684,Eolophus,roseicapilla,Female,High,0.5,High,Yes,No,2,2,5,Sometimes,Frequently,,,,,,,,,,,,,,,,,,,,
710,Eolophus,roseicapilla,Male,High,3,High,No,,4,3,9,Sometimes,Frequently,,,,,,,,,,,,,,,,,,,,
420,Eolophus,roseicapilla,Male,High,2,High,No,,5,10,30,Frequently,Frequently,,,,,,,,,,,,,,,,,,,,
368,Eolophus,roseicapilla,Female,Low,30,Medium,Yes,No,2,1,2,Never,Never,,,,,,,,,,,,,,,,,,,,
451,Eolophus,roseicapilla,Male,High,6,High,No,No,3,3,10,Sometimes,Sometimes,,,,,,,,,,,,,,,,,,,,
37,Eolophus,roseicapilla,Male,Medium,32,Low,No,No,2,2,5,Never,Sometimes,,,,,,,,,,,,,,,,,,,,
63,Eolophus,roseicapilla,Female,High,19,,No,No,0,2,4,Never,Sometimes,,,,,,,,,,,,,,,,,,,,
517,Eolophus,roseicapilla,Female,Medium,1.5,High,No,,0,3,7,Never,Sometimes,,,,,,,,,,,,,,,,,,,,
750,Eolophus ,roseicapilla,Male,High,2,High,No,,11,60,85,Sometimes,Frequently,,,,,,,,,,,,,,,,,,,,
551,Eolophus ,roseicapilla,Male,High,11,High,Yes,No,15,20,30,Frequently,Frequently,,,,,,,,,,,,,,,,,,,,
532,Eos,bornea,Male,High,4,High,No,No,6,6,10,Sometimes,Sometimes,,,,,,,,,,,,,,,,,,,,
538,Eos,bornea,Male,High ,4,High,No,No,6,6,10,Sometimes,Sometimes,,,,,,,,,,,,,,,,,,,,
713,Eupsittula,aurea,Female,High,36,High,Yes,Yes,7,6,10,Sometimes,Frequently,,,,,,,,,,,,,,,,,,,,
66,Eupsittula,aurea,Female,High,22,,No,,2,15,36,Frequently,Frequently,,,,,,,,,,,,,,,,,,,,
39,Eupsittula,aurea,Female,High,16.5,Low,Yes,No,6,9,16,Sometimes,Sometimes,,,,,,,,,,,,,,,,,,,,
686,Eupsittula,aurea,Female,High,1,Low,Yes,No,20,0,15,Frequently,Sometimes,,,,,,,,,,,,,,,,,,,,
21,Eupsittula,canicularis,Female,High,1.5,Low,Yes,No,2,3,6,Sometimes,Sometimes,,,,,,,,,,,,,,,,,,,,
668,Eupsittula,canicularis,Unknown,,4,Medium,No,,3,7,14,Never,Sometimes,,,,,,,,,,,,,,,,,,,,
525,Eupsittula ,canicularis,Female,High,4,High,Yes,No,2,5,8,Never,Sometimes,,,,,,,,,,,,,,,,,,,,
754,Forpus,coelestis,Male,Medium,7,Medium,No,No,4,4,3,Sometimes,Frequently,,,,,,,,,,,,,,,,,,,,
841,Forpus,coelestis,Male,Medium,11,High,Yes,Yes,6,2,3,Sometimes,Frequently,,,,,,,,,,,,,,,,,,,,
388,Forpus,coelestis,Male,Medium,5.5,High,No,,2,4,11,Sometimes,Sometimes,,,,,,,,,,,,,,,,,,,,
794,Forpus,coelestis,Male,Medium,18,High,Yes,No,2,0,1,Sometimes,Sometimes,,,,,,,,,,,,,,,,,,,,
660,Forpus,coelestis,Male,Low,3,High,Yes,Yes,0,3,6,Frequently,Sometimes,,,,,,,,,,,,,,,,,,,,
341,Forpus,coelestis,Male,Medium,2,High,Yes,No,1,9,21,Never,Sometimes,,,,,,,,,,,,,,,,,,,,
817,Forpus,coelestis,Male,Medium,8,High,Yes,Yes,2,1,2,Never,Sometimes,,,,,,,,,,,,,,,,,,,,
107,Forpus ,coelestis,Male,Medium,5,High,Yes,Yes,1,1,2,Never,Never,,,,,,,,,,,,,,,,,,,,
340,Forpus ,coelestis,Male,Medium,1,High,No,No,2,3,7,Sometimes,Sometimes,,,,,,,,,,,,,,,,,,,,
604,Forpus ,coelestis,Male,Medium,8,Medium,No,,1,1,3,Never,Sometimes,,,,,,,,,,,,,,,,,,,,
13,Forpus ,coelestis,Male,High,4,High,Yes,No,7,5,10,Sometimes,,,,,,,,,,,,,,,,,,,,,
110,Lophochroa,leadbeateri,Male,Low,6,Medium,Yes,No,5,4,10,Sometimes,Frequently,,,,,,,,,,,,,,,,,,,,
757,Lophochroa,leadbeateri,Female,High,2,High,Yes,Yes,7,6,15,Never,Never,,,,,,,,,,,,,,,,,,,,
250,Lorius,garrulus,Male,High,5,High,No,,5,5,16,Sometimes,Frequently,,,,,,,,,,,,,,,,,,,,
179,Lorius,garrulus,Female,High,7,High,No,No,10,5,16,Never,Frequently,,,,,,,,,,,,,,,,,,,,
74,Melopsittacus,undulatus,Male,Medium,8,,Yes,Yes,25,35,60,Sometimes,Frequently,,,,,,,,,,,,,,,,,,,,
153,Melopsittacus,undulatus,Female,High,5,High,Yes,Yes,5,0,0,Sometimes,Frequently,,,,,,,,,,,,,,,,,,,,
205,Melopsittacus,undulatus,Male,Medium,5,High,No,,6,30,46,Sometimes,Frequently,,,,,,,,,,,,,,,,,,,,
302,Melopsittacus,undulatus,Male,Medium,1,High,No,,20,7,4,Sometimes,Frequently,,,,,,,,,,,,,,,,,,,,
319,Melopsittacus,undulatus,Male,Medium,2,High,No,,1,2,3,Sometimes,Frequently,,,,,,,,,,,,,,,,,,,,
354,Melopsittacus,undulatus,Male,Medium,3,Low,No,,2,43,76,Sometimes,Frequently,,,,,,,,,,,,,,,,,,,,
662,Melopsittacus,undulatus,Female,High,18,Medium,Yes,No,3,27,54,Sometimes,Frequently,,,,,,,,,,,,,,,,,,,,
258,Melopsittacus,undulatus,Male,Medium,6,Medium,Yes,Yes,10,30,100,Frequently,Frequently,,,,,,,,,,,,,,,,,,,,
259,Melopsittacus,undulatus,Male,Medium,9,Low,Yes,Yes,10,20,60,Frequently,Frequently,,,,,,,,,,,,,,,,,,,,
320,Melopsittacus,undulatus,Male,Medium,1,High,No,,4,9,14,Frequently,Frequently,,,,,,,,,,,,,,,,,,,,
516,Melopsittacus,undulatus,Male,Medium,8,High,Yes,Yes,20,100,160,Frequently,Frequently,,,,,,,,,,,,,,,,,,,,
79,Melopsittacus,undulatus,Female,Medium,10,Low,No,,2,0,0,Never,Frequently,,,,,,,,,,,,,,,,,,,,
644,Melopsittacus,undulatus,Unknown,Low,12,High,Yes,Yes,1,0,0,Never,Frequently,,,,,,,,,,,,,,,,,,,,
721,Melopsittacus,undulatus,Unknown,,26,High,Yes,Yes,25,0,20,Never,Frequently,,,,,,,,,,,,,,,,,,,,
730,Melopsittacus,undulatus,Female,High,25,High,No,No,35,6,15,Never,Frequently,,,,,,,,,,,,,,,,,,,,
731,Melopsittacus,undulatus,Female,High,5,High,Yes,No,1,5,0,Never,Frequently,,,,,,,,,,,,,,,,,,,,
339,Melopsittacus,undulatus,Male,Medium,3,High,Yes,No,2,11,25,Sometimes,Never,,,,,,,,,,,,,,,,,,,,
373,Melopsittacus,undulatus,Male,Medium,1,High,No,,10,8,20,Sometimes,Never,,,,,,,,,,,,,,,,,,,,
198,Melopsittacus,undulatus,Male,Medium,3,High,No,,2,6,11,Frequently,Never,,,,,,,,,,,,,,,,,,,,
609,Melopsittacus,undulatus,Male,Medium,1,High,Yes,Yes,5,23,43,Frequently,Never,,,,,,,,,,,,,,,,,,,,
832,Melopsittacus,undulatus,Female,Medium,,,Yes,Yes,1,0,0,,Never,,,,,,,,,,,,,,,,,,,,
869,Melopsittacus,undulatus,Male,Medium,,,Yes,Yes,5,0,0,,Never,,,,,,,,,,,,,,,,,,,,
145,Melopsittacus,undulatus,Female,Medium,1,High,No,No,5,4,12,Sometimes,Sometimes,,,,,,,,,,,,,,,,,,,,
83,Melopsittacus,undulatus,Male,Medium,6,High,Yes,No,3,25,60,Frequently,Sometimes,,,,,,,,,,,,,,,,,,,,
84,Melopsittacus,undulatus,Male,Medium,6,High,Yes,No,3,25,60,Frequently,Sometimes,,,,,,,,,,,,,,,,,,,,
213,Melopsittacus,undulatus,Male,Medium,3,High,Yes,Yes,4,5,13,Frequently,Sometimes,,,,,,,,,,,,,,,,,,,,
484,Melopsittacus,undulatus,Male,Medium,4,High,Yes,Yes,3,8,22,Frequently,Sometimes,,,,,,,,,,,,,,,,,,,,
510,Melopsittacus,undulatus,Male,Medium,8,High,No,No,20,18,40,Frequently,Sometimes,,,,,,,,,,,,,,,,,,,,
618,Melopsittacus,undulatus,Male,Medium,1,High,Yes,No,1,1,2,Frequently,Sometimes,,,,,,,,,,,,,,,,,,,,
426,Melopsittacus,undulatus,Male,Medium,1,High,No,,3,4,10,Never,Sometimes,,,,,,,,,,,,,,,,,,,,
429,Melopsittacus,undulatus,Female,High,3,High,Yes,No,5,2,5,Never,Sometimes,,,,,,,,,,,,,,,,,,,,
726,Melopsittacus,undulatus,Male,Medium,54,Medium,No,No,8,1,7,Never,Sometimes,,,,,,,,,,,,,,,,,,,,
816,Melopsittacus,undulatus,Female,Medium,3,Medium,Yes,Yes,1,3,8,Never,Sometimes,,,,,,,,,,,,,,,,,,,,
15,Melopsittacus,undulatus,Male,Medium,12,Low,Yes,No,4,0,0,,,,,,,,,,,,,,,,,,,,,,
485,Melopsittacus,undulatus,Male,Medium,5.5,High,Yes,Yes,2,0,0,,,,,,,,,,,,,,,,,,,,,,
65,Myiopsitta,monachus,Male,High,11,Low,Yes,No,6,4,26,Sometimes,Frequently,,,,,,,,,,,,,,,,,,,,
142,Myiopsitta,monachus,Unknown,Low,20,Medium,Yes,Yes,10,10,48,Sometimes,Frequently,,,,,,,,,,,,,,,,,,,,
223,Myiopsitta,monachus,Male,Low,13,Low,Yes,No,10,4,7,Sometimes,Frequently,,,,,,,,,,,,,,,,,,,,
271,Myiopsitta,monachus,Male,High,3,Low,Yes,No,3,8,21,Sometimes,Frequently,,,,,,,,,,,,,,,,,,,,
276,Myiopsitta,monachus,Unknown,,2,High,No,,5,8,20,Sometimes,Frequently,,,,,,,,,,,,,,,,,,,,
321,Myiopsitta,monachus,Female,Medium,1,High,Yes,No,7,4,5,Sometimes,Frequently,,,,,,,,,,,,,,,,,,,,
333,Myiopsitta,monachus,Unknown,,2,High,No,,16,52,116,Sometimes,Frequently,,,,,,,,,,,,,,,,,,,,
432,Myiopsitta,monachus,Unknown,,0,High,No,No,3,3,11,Sometimes,Frequently,,,,,,,,,,,,,,,,,,,,
514,Myiopsitta,monachus,Male,Medium,1,High,Yes,No,0,5,12,Sometimes,Frequently,,,,,,,,,,,,,,,,,,,,
574,Myiopsitta,monachus,Male,High,2,High,No,No,4,15,100,Sometimes,Frequently,,,,,,,,,,,,,,,,,,,,
622,Myiopsitta,monachus,Female,High,5,High,No,,7,9,20,Sometimes,Frequently,,,,,,,,,,,,,,,,,,,,
653,Myiopsitta,monachus,Female,High,13,High,Yes,,20,7,17,Sometimes,Frequently,,,,,,,,,,,,,,,,,,,,
709,Myiopsitta,monachus,Male,High,6,Medium,No,No,1,2,7,Sometimes,Frequently,,,,,,,,,,,,,,,,,,,,
743,Myiopsitta,monachus,Male,High,19,High,No,No,6,6,16,Sometimes,Frequently,,,,,,,,,,,,,,,,,,,,
748,Myiopsitta,monachus,Female,High,21,Medium,Yes,Yes,3,2,3,Sometimes,Frequently,,,,,,,,,,,,,,,,,,,,
779,Myiopsitta,monachus,Unknown,,3,High,No,,2,80,120,Sometimes,Frequently,,,,,,,,,,,,,,,,,,,,
808,Myiopsitta,monachus,Male,Medium,18,Medium,Yes,Yes,4,50,59,Sometimes,Frequently,,,,,,,,,,,,,,,,,,,,
141,Myiopsitta,monachus,Unknown,Low,26,Medium,Yes,Yes,12,39,85,Frequently,Frequently,,,,,,,,,,,,,,,,,,,,
431,Myiopsitta,monachus,Male,High,3,High,No,,8,25,54,Frequently,Frequently,,,,,,,,,,,,,,,,,,,,
433,Myiopsitta,monachus,Male,High,13,High,Yes,No,10,30,15,Frequently,Frequently,,,,,,,,,,,,,,,,,,,,
477,Myiopsitta,monachus,Unknown,,15,Medium,No,,5,15,35,Frequently,Frequently,,,,,,,,,,,,,,,,,,,,
539,Myiopsitta,monachus,Unknown,,10,High,Yes,No,8,16,25,Frequently,Frequently,,,,,,,,,,,,,,,,,,,,
101,Myiopsitta,monachus,Male,Medium,7,Medium,Yes,No,5,25,36,Never,Frequently,,,,,,,,,,,,,,,,,,,,
244,Myiopsitta,monachus,Male,Medium,1.5,,No,Yes,10,15,44,Never,Frequently,,,,,,,,,,,,,,,,,,,,
746,Myiopsitta,monachus,Female,High,28.5,High,Yes,Yes,4,2,4,Never,Frequently,,,,,,,,,,,,,,,,,,,,
315,Myiopsitta,monachus,Male,Low,6,Low,No,,3,0,3,Sometimes,Never,,,,,,,,,,,,,,,,,,,,
879,Myiopsitta,monachus,Female,High,1,High,Yes,Yes,10,2,4,Frequently,Never,,,,,,,,,,,,,,,,,,,,
124,Myiopsitta,monachus,Male,Low,1,High,No,,3,2,3,Never,Never,,,,,,,,,,,,,,,,,,,,
181,Myiopsitta,monachus,Male,Medium,0.5,High,Yes,No,9,3,5,Never,Never,,,,,,,,,,,,,,,,,,,,
96,Myiopsitta,monachus,Female,High,,Medium,Yes,No,6,4,12,Sometimes,Sometimes,,,,,,,,,,,,,,,,,,,,
