Make,Model,Type,LowPrice,HighPrice,CityMPG,HwyMPG,Seating,Drive,Acc030,Acc060,QtrMile,Braking,FuelCap,Length,Width,Height,Wheelbase,UTurn,Weight,Size
Acura,MDX,SUV,44.4,60.15,14,31,7,AWD,2.8,6.8,15.3,135,19.5,196,77,67,111,40,4200,Midsized
Acura,RLX,Sedan,54.9,61,15,36,5,AWD,2.7,6.5,15,128,18.5,198,74,58,112,40,3930,Midsized
Audi,A3,Sedan,33.3,43,18,40,5,AWD,3.2,8.3,16.4,124,13.2,175,70,56,104,37,3135,Small
Audi,A4,Sporty,37.4,45.7,18,40,5,AWD,2.7,6.3,14.9,135,15.3,186,73,56,111,40,3630,Small
Audi,A6,Sedan,54.9,73.9,17,39,5,AWD,2.8,6.8,15.3,129,19.3,195,74,57,115,38,4015,Midsized
Audi,A8,Wagon,83.8,83.8,20,27,5,AWD,2.4,6.1,14.5,133,21.7,209,77,59,123,43,4810,Large
Audi,Q3,SUV,34.7,36,15,33,5,AWD,3.2,7.8,16.1,126,15.9,177,73,63,106,40,3880,Small
Audi,TT,Sporty,45.5,54.5,18,35,4,AWD,2.5,6.7,14.8,113,14.5,165,72,53,99,36,3140,Small
BMW,3 Series,Sedan,40.75,56,19,44,5,AWD,2.6,6.4,14.8,129,15.6,186,72,57,112,41,3640,Small
BMW,5 series,Sedan,53.9,110,16,40,5,AWD,2.9,7.2,15.5,130,17.9,195,74,58,117,42,3950,Midsized
BMW,7 Series,Sedan,86.45,151.7,14,33,5,AWD,2.4,5.3,13.6,131,20.6,207,75,58,126,43,4710,Large
BMW,X1,SUV,35.2,37.3,17,37,5,AWD,3.5,7.9,16.3,134,16.1,175,72,63,105,39,3725,Small
BMW,Z4,Sporty,49.7,63.7,20,40,2,RWD,2.7,6.1,14.6,111,13.7,171,73,51,97,37,3290,Small
Buick,Enclave,SUV,40,56.1,12,26,7,AWD,3.1,7.4,15.8,130,21.7,204,79,70,121,41,4690,Large
Buick,Envision,SUV,31.995,43.6,14,31,5,AWD,2.9,7.9,16.1,128,17.3,184,72,67,108,38,4050,Small
Buick,Regal,Sedan,25.37,39.07,15,34,5,AWD,2.9,7,15.3,125,16.5,193,73,57,111,39,2680,Midsized
Buick ,Encore,SUV,23.3,30.8,16,32,5,AWD,3.8,11,18.3,127,14,168,70,65,101,38,3355,Small
Cadillac,Escalade,SUV,75.195,98.295,10,23,8,AWD,2.2,6.1,14.5,142,26,204,81,74,116,41,5820,Large
Cadillac,XT4,SUV,35.695,42.295,16,31,5,AWD,3,7.6,15.9,128,16.3,181,77,63,109,39,3939,Small
Cadillac,XT5,SUV,44.095,55.095,13,30,5,AWD,2.7,7.1,15.6,132,22,190,76,66,113,42,3500,Midsized
Cadillac,XT6,Sporty,52.695,57.095,12,26,7,AWD,3,7.1,15.6,134,21.7,199,77,69,113,41,4585,Midsized
Chevrolet,Camaro,Sporty,25,68,13,28,4,RWD,2,4.4,12.7,112,17.9,188,75,53,111,40,3730,Midsized
Chevrolet,Corvette,Sporty,55.9,125.4,14,28,2,RWD,2,4.3,12.6,107,18,177,74,49,107,38,3470,Small
Chevrolet,Impala,Sedan,31.62,36.72,14,34,5,FWD,2.9,6.9,15.5,130,18.5,201,73,59,112,40,3855,Large
Chevrolet,Malibu,Sedan,22.095,33.32,19,41,5,FWD,3.1,8.4,16.6,130,13,194,73,58,112,38,3125,Midsized
Chevrolet,Spark,Hatchback,13.22,17.72,23,44,4,FWD,4.5,12,19,128,9,143,63,58,94,35,2280,Small
Chevrolet,Suburban,SUV,49.7,68.5,10,23,9,AWD,2.9,7.9,16.2,139,26,224,81,74,130,45,5945,Large
Chevrolet,Tahoe,SUV,46.8,65.7,10,23,9,AWD,2.8,7.7,15.9,136,26,204,81,74,116,41,5635,Large
Chevrolet,Traverse,SUV,29.6,53.2,14,28,8,AWD,3,7.3,15.7,130,21.7,204,79,71,121,40,4695,Large
Chevrolet ,Blazer,SUV,28.8,45.6,13,27,5,AWD,2.7,6.4,15,130,21.7,191,77,67,113,40,4235,Midsized
Chrysler,300,Sedan,29.59,41.995,15,32,5,AWD,3.2,7.4,15.8,137,18.5,199,75,58,120,40,4095,Large
Chrysler,Pacifica,Minivan,33.745,45.845,13,33,7,FWD,3.1,8,16.2,136,19,204,80,70,122,41,4535,Midsized
Dodge,Durango,SUV,30.495,62.995,12,25,7,AWD,3.1,8.3,16.4,134,25,200,76,71,120,41,5105,Large
Dodge,Journey,SUV,23.495,28.595,11,25,7,AWD,3.2,8.1,16.4,139,21,192,72,68,114,41,4410,Midsized
Dodge ,Challenger,Sporty,27.995,58.995,14,27,5,AWD,2.3,5.5,13.9,119,18.5,198,76,57,116,40,4190,Large
Dodge ,Charger,Sedan,29.895,69.645,13,31,5,AWD,2.5,6.1,14.5,128,18.5,201,75,58,120,39,4335,Large
Dodge ,Grand Caravan,Minivan,27.295,35.535,11,27,7,FWD,3.3,8.1,16.5,141,20,203,79,68,121,42,4685,Large
Fiat,500L,Hatchback,22.5,24.645,18,37,5,FWD,3.9,9.5,17.4,132,13.1,167,70,66,103,37,3330,Small
Ford,Escape,SUV,24.885,38.835,17,37,5,AWD,3.3,8.9,16.9,128,15.7,181,74,69,107,39,3530,Small
Ford,Expedition,SUV,48.99,80.11,11,23,8,AWD,2.7,7.3,15.7,143,28.3,222,82,76,132,45,6035,Large
Ford,Explorer,SUV,32.765,58.25,14,29,8,AWD,3.1,7.4,16,136,17.9,199,79,70,119,40,4565,Large
Ford,Fusion,Sedan,23.17,37,16,34,5,AWD,3.2,9.2,17,125,16.5,192,73,58,112,38,3505,Midsized
Ford,Mustang,Sporty,26.67,70.3,13,27,4,RWD,2.1,4.9,13.4,121,16,188,75,54,107,39,3845,Midsized
Ford ,EcoSport,SUV,20.485,27.715,17,31,5,AWD,3.9,10.7,18.1,132,13.6,161,70,65,99,36,3390,Small
GMC,Terrain,SUV,25,39.9,14,30,5,AWD,2.8,7.2,15.6,128,15.6,182,72,65,107,39,3800,Small
GMC ,Acadia,SUV,29.8,48.3,13,28,8,AWD,2.6,6.8,15.4,130,22,193,75,67,113,40,4395,Midsized
GMC ,Yukon,SUV,50.6,70.7,10,23,9,AWD,2.8,7.7,15.9,136,26,204,81,74,116,41,5635,Large
Honda,Passport,SUV,31.99,43.78,14,28,5,AWD,2.5,6.4,15,135,19.5,191,79,72,111,40,4170,Midsized
Honda ,Accord,Sedan,23.87,36.1,21,42,5,FWD,3.1,7.7,16.1,135,14.8,192,73,57,111,39,3155,Midsized
Honda ,CR-V,SUV,25.05,34.75,20,37,5,AWD,3.4,8.2,18.5,137,14,181,73,67,105,38,3450,Small
Honda ,Odyssey,Minivan,30.69,47.32,14,33,8,FWD,3.4,8.1,16.4,136,19.5,203,79,68,118,41,4490,Large
Honda ,Pilot,SUV,31.55,49.62,13,28,8,AWD,3.2,7.5,15.9,136,19.5,197,79,71,110,41,4280,Midsized
Hyundai,Accent,Sedan,15.195,19.3,22,47,5,FWD,3.7,9.9,17.5,128,11.9,173,68,57,102,35,2625,Small
Hyundai,Elantra,Sedan,18.95,24.6,21,49,5,FWD,3.8,9.9,17.6,133,14,182,71,57,106,36,2865,Small
Hyundai,Kona,SUV,20.1,45.2,18,34,5,AWD,4,11.1,18.3,129,13.2,164,71,61,102,36,3145,Small
Hyundai,Santa Fe,SUV,25.9,39.2,14,31,5,AWD,3.3,8.7,16.7,136,18.8,188,74,66,109,39,4015,Midsized
Hyundai,Sonata,Sedan,23.4,33.3,18,42,5,FWD,3.4,8.3,16.6,129,18.5,191,73,58,110,37,3305,Midsized
Hyundai,Veloster,Sporty,18.6,28.15,21,39,4,FWD,2.7,7,15.2,119,13.2,167,71,55,104,36,2795,Small
Infiniti,Q50,Sedan,36.4,56.25,14,32,5,AWD,2.4,5.7,14.2,126,20,190,72,57,112,39,3875,Small
Infiniti,QX60,SUV,44.35,48.15,13,26,7,AWD,3.5,8.3,16.5,137,19.5,201,77,69,114,41,4530,Midsized
Jaguar,E-Pace,SUV,39.95,52.95,15,29,5,AWD,3.1,7.9,16.3,129,18.1,173,82,65,106,39,4130,Small
Jaguar,XF,Sedan,51.1,71.8,14,30,5,AWD,2.3,5.8,14.2,128,19.5,195,78,58,117,39,4175,Midsized
Jeep,Compass,SUV,22.105,29.905,16,35,5,AWD,3.6,9.8,17.5,137,13.5,173,74,65,104,38,3525,Small
Jeep,Grand Cherokee,SUV,32.045,86.9,12,24,5,AWD,3,8,16.2,134,24.6,190,77,68,115,40,4900,Midsized
Kia,Cadenza,Sedan,33.1,44.1,16,36,5,FWD,2.9,7,15.3,127,18.5,196,74,58,112,39,3725,Midsized
Kia,Forte,Sedan,17.79,22.89,22,49,5,FWD,3.6,8.3,16.7,131,14,183,71,57,106,36,2805,Small
Kia,Optima,Sedan,23.19,36.09,18,40,5,FWD,3.3,8,16.3,130,18.5,191,73,58,110,37,3300,Midsized
Kia,Rio,Sedan,15.75,16.69,22,48,5,FWD,3.6,9.6,17.3,131,11.9,173,68,57,102,35,2575,Small
Kia,Soul,Wagon,17.49,27.49,21,35,5,FWD,3.5,8.8,16.9,120,14.3,165,71,63,102,36,2995,Small
Land Rover,Range Evoque,SUV,42.65,56.85,13,29,5,AWD,3.2,8.3,16.6,126,17.7,172,79,65,106,39,4235,Small
Lexus,GS,Sedan,51.065,85.01,13,32,5,AWD,2.6,6.2,14.7,137,17.5,192,72,57,112,37,3845,Midsized
Lexus,LS,Sedan,75.45,100.865,12,32,5,AWD,2.4,6,14.4,136,21.7,206,75,58,123,41,5170,Large
Lexus,RX,SUV,44.15,56.46,14,31,5,AWD,2.9,7.5,15.8,139,19.2,193,75,68,110,40,4435,Midsized
Lincoln,Aviator,SUV,51.1,87.8,12,28,7,AWD,2.5,6.2,14.8,138,20.2,199,80,70,119,41,5065,Midsized
Lincoln,Navigator,SUV,75.825,99.97,11,22,8,AWD,2.4,6.2,14.7,144,28.3,210,84,76,123,42,6100,Large
Mazda,3,Sedan,21.5,28.9,20,44,5,AWD,3,7.7,16.1,125,13.2,184,71,57,107,37,3025,Small
Mazda,6,Sedan,24,35.3,18,42,5,FWD,3.6,9.2,17.2,133,16.4,192,72,57,111,38,3405,Midsized
Mazda,CX-3,SUV,20.64,22.04,20,36,5,AWD,3.5,9.6,17.4,135,11.9,168,70,61,101,36,2945,Small
Mazda,CX-9,SUV,33.79,46.115,15,32,7,AWD,3.1,7.9,16.3,139,20.1,200,76,68,113,40,4586,Midsized
Mazda ,Miata-MX5,Sporty,25.73,37.995,25,42,2,RWD,2.2,6.7,15.1,124,11.9,154,68,49,91,32,2335,Small
Mercedes,C-Class,Sedan,41.4,84.9,18,35,5,AWD,2.7,6.8,15.2,136,17.4,185,71,57,112,38,3670,Small
Mercedes,GLC,SUV,42.5,84.1,15,31,5,AWD,2.7,6.8,15.4,132,17.4,183,74,65,113,40,4010,Small
Mitsubishi,Mirage,Hatchback,13.995,17.745,28,47,5,FWD,4.4,12.1,19,138,9.2,149,66,59,97,32,2085,Small
Nissan,Altima,Sedan,24.1,35.18,20,45,5,AWD,3.1,7.6,15.9,131,16.2,193,73,57,111,38,3240,Midsized
Nissan,Murano,SUV,31.53,45.33,15,29,5,AWD,3.4,7.7,16,131,19,192,75,67,111,40,4025,Midsized
Nissan,Pathfinder,SUV,31.68,44.61,13,25,7,AWD,3.2,7.7,16,137,19.5,199,77,70,111,40,4505,Midsized
Nissan,Rogue,SUV,25.3,33.04,17,30,5,AWD,3.7,9.5,17.3,134,14.5,185,72,66,107,38,3590,Small
Nissan,Sentra,Sedan,17.99,26.04,21,42,5,FWD,3.9,10.4,18,129,13.3,182,69,59,106,36,2865,Small
Nissan,Versa,Sedan,12.46,16.09,23,40,5,FWD,4,10.6,18.1,140,11.3,175,67,60,102,38,2430,Small
Porche,911,Sporty,113.3,133.4,16,32,4,AWD,1.6,4.1,12.4,108,16.9,177,71,51,96,37,3235,Small
Porche,Cayenne,SUV,66.8,164.4,15,29,5,AWD,2.8,6.5,14.9,131,23.8,194,78,67,114,41,4680,Midsized
Subaru,Crosstrek,SUV,22.145,35.145,20,39,5,AWD,4,10.2,17.8,125,16.6,176,71,64,105,37,3190,Small
Subaru,Forester,SUV,24.495,34.595,20,38,5,AWD,3.7,9.2,17.2,130,16.6,182,72,68,105,36,3485,Small
Subaru,Impreza,Sedan,18.695,26.295,21,41,5,AWD,3.8,9.5,17.3,124,13.2,182,70,57,105,37,3085,Small
Subaru,Outback,Wagon,26.645,39.695,16,32,5,AWD,3,7.1,15.5,132,18.5,191,73,66,108,38,3915,Midsized
Subaru ,Legacy,Sedan,22.745,35.895,17,39,5,AWD,4.1,10.2,17.8,128,18.5,189,72,59,108,39,3470,Midsized
Toyota,Corolla,Sedan,19.6,25.55,23,45,5,FWD,4.5,10.4,18.1,134,13.2,182,70,57,106,37,2960,Small
Toyoto,4Runner,SUV,36.12,49.865,12,24,7,AWD,3,7.7,16.1,131,23,190,76,72,110,45,4665,Midsized
Toyoto,Camry,Sedan,24.425,35.13,20,49,5,AWD,3.2,8,16.3,126,16,192,72,57,111,39,3340,Midsized
Toyoto,Highlander,SUV,31.33,48.63,15,31,8,AWD,2.8,7.4,15.8,134,19.2,193,76,70,110,42,4570,Midsized
Toyoto,Rav4,SUV,25.95,36.88,19,38,5,AWD,3.1,8.3,16.5,131,14.5,181,73,67,106,37,3510,Small
Toyoto,Sequioa,SUV,49.98,69.245,10,21,8,AWD,2.7,7.1,15.6,146,26.4,205,80,75,122,42,6025,Large
Toyoto,Sienna,Minivan,31.565,49.34,14,30,8,AWD,3.2,7.7,16,137,20.9,201,78,71,119,39,4550,Large
Toyoto,Yaris,Sedan,15.65,18.75,24,48,5,FWD,3.8,10.3,17.9,139,11.6,172,67,59,101,34,2420,Small
Volkswagon,Golf,Hatchback,23.195,37.295,19,38,5,AWD,3.2,8.7,16.7,130,13.2,168,71,57,104,37,3090,Small
Volkswagon,Jetta,Sedan,18.895,27.945,21,54,5,FWD,3.6,9,17,135,13.2,185,71,57,106,38,3065,Small
Volkswagon,Passat,Sedan,22.995,31.095,19,39,5,FWD,3.1,8.6,16.6,129,18.5,192,72,59,110,38,3320,Midsized
Volkswagon,Tiguan,SUV,24.945,38.795,16,35,7,AWD,4.1,10.3,17.9,131,15.3,185,72,66,110,39,3860,Small
Volvo,S60,Sedan,36.05,64.8,17,39,5,AWD,3,7.3,15.5,125,14.5,187,80,57,113,38,3750,Small
Volvo,XC90,SUV,48.35,73.8,14,28,7,AWD,3.1,7.7,15.9,126,18.8,195,84,70,118,41,4595,Midsized
